unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1.56254E+12,7/8/2019 0:00,ETH/USDT,304.72,313.74,300.78,311.97,289607.3418,88890021.75,156865
1.56246E+12,7/7/2019 0:00,ETH/USDT,288.29,309.69,284.25,304.72,246111.366,73170809.76,146592
1.56237E+12,7/6/2019 0:00,ETH/USDT,287.32,296.71,285.28,288.29,196064.6471,57137782.6,122419
1.56228E+12,7/5/2019 0:00,ETH/USDT,282.86,294.89,280.78,287.47,261139.2834,75165110.7,151476
1.5622E+12,7/4/2019 0:00,ETH/USDT,301.11,302.74,280.53,282.73,270791.3688,79507234.74,155911
1.56211E+12,7/3/2019 0:00,ETH/USDT,291.47,302.89,285,301.14,370521.9664,109262202.2,203286
1.56203E+12,7/2/2019 0:00,ETH/USDT,295.03,297.57,272.65,291.48,493772.9658,140020251.9,255019
1.56194E+12,7/1/2019 0:00,ETH/USDT,292.89,303.49,280.13,295.07,489769.2742,142871936.8,247035
1.56185E+12,6/30/2019 0:00,ETH/USDT,317.64,323.5,290.12,292.7,489028.5684,149527443.6,265958
1.56177E+12,6/29/2019 0:00,ETH/USDT,310.95,324.74,295.18,317.62,425555.1626,130425514,233883
1.56168E+12,6/28/2019 0:00,ETH/USDT,298.35,313.58,295.22,311.05,529174.4772,161838706.8,260039
1.56159E+12,6/27/2019 0:00,ETH/USDT,339.53,347,280.01,298.35,1016826.449,315174509.7,449424
1.56151E+12,6/26/2019 0:00,ETH/USDT,318.29,366.8,315.57,339.39,1008551.287,341534154.5,477973
1.56142E+12,6/25/2019 0:00,ETH/USDT,311.65,318.99,307,318.26,345559.6505,108143161.2,183415
1.56133E+12,6/24/2019 0:00,ETH/USDT,308.42,314.41,298,311.64,352791.2696,108439071.6,185588
1.56125E+12,6/23/2019 0:00,ETH/USDT,310.7,321.7,305.58,308.52,418812.0275,131252843.5,241819
1.56116E+12,6/22/2019 0:00,ETH/USDT,294.25,314.39,289.69,310.79,726254.6706,222036096.3,336414
1.56108E+12,6/21/2019 0:00,ETH/USDT,271.27,295.94,271.22,294.35,519818.0691,148641528.5,240649
1.56099E+12,6/20/2019 0:00,ETH/USDT,268.16,273.63,265.71,271.22,200717.7737,53998507.96,130438
1.5609E+12,6/19/2019 0:00,ETH/USDT,264.68,270,263.59,268.14,208375.6838,55665919.15,111358
1.56082E+12,6/18/2019 0:00,ETH/USDT,273.14,273.58,261.45,264.66,319941.5516,85335852.93,184954
1.56073E+12,6/17/2019 0:00,ETH/USDT,267.73,276,266.81,273.16,339277.6671,91807270.71,185899
1.56064E+12,6/16/2019 0:00,ETH/USDT,267.78,277.06,263.31,267.73,458176.5424,123848161.5,206212
1.56056E+12,6/15/2019 0:00,ETH/USDT,262.48,272.27,260.61,267.82,286594.9803,76053046.55,146902
1.56047E+12,6/14/2019 0:00,ETH/USDT,254.67,264.26,251.75,262.47,327383.2824,84045849.54,175229
1.56038E+12,6/13/2019 0:00,ETH/USDT,261.13,262.98,253.69,254.67,291757.2164,75447391.04,159838
1.5603E+12,6/12/2019 0:00,ETH/USDT,244.36,261.87,242.2,261.15,336499.3016,84660448.57,171468
1.56021E+12,6/11/2019 0:00,ETH/USDT,246.61,247.8,236.49,244.29,237508.428,57549753.74,133083
1.56012E+12,6/10/2019 0:00,ETH/USDT,231.02,247.45,227.03,246.51,314662.5264,75090336.66,162704
1.56004E+12,6/9/2019 0:00,ETH/USDT,243.33,244.53,226.56,230.98,316931.8564,74594101.42,147025
1.55995E+12,6/8/2019 0:00,ETH/USDT,248.78,250.53,240.37,243.25,188448.2775,46293916.79,108260
